==================================================
      VNSTOCK 3.x MULTI-STOCK DEMO               
      Danh sách: NAS100
      Khung: 1D, Số lượng: 3650
==================================================

==================================================
      PHÂN TÍCH MÃ: NAS100 (Nasdaq 100 Futures) 
      Khung thời gian: 1D
==================================================

--- [ LỊCH SỬ GIÁ NAS100  ] ---
            time      open      high       low     close    change  pct_change   volume
0     2011-10-11  2,275.25  2,296.25  2,262.25  2,288.50     11.75        0.52   243144
1     2011-10-12  2,287.00  2,329.00  2,274.50  2,296.50      8.00        0.35   304865
2     2011-10-13  2,299.75  2,336.25  2,289.00  2,326.00     29.50        1.28   315723
3     2011-10-14  2,326.25  2,369.00  2,320.25  2,367.25     41.25        1.77   274440
4     2011-10-17  2,367.25  2,388.50  2,317.00  2,321.00    -46.25       -1.95   314777
5     2011-10-18  2,321.00  2,371.50  2,304.75  2,363.75     42.75        1.84   381902
6     2011-10-19  2,365.25  2,368.25  2,305.75  2,318.00    -45.75       -1.94   332866
7     2011-10-20  2,316.25  2,332.75  2,268.50  2,301.00    -17.00       -0.73   351193
8     2011-10-21  2,297.00  2,345.50  2,296.00  2,334.25     33.25        1.45   259719
9     2011-10-24  2,326.75  2,385.75  2,320.25  2,374.75     40.50        1.74   241760
10    2011-10-25  2,375.00  2,386.75  2,316.00  2,321.75    -53.00       -2.23   325017
11    2011-10-26  2,323.25  2,350.25  2,286.75  2,326.50      4.75        0.20   322352
12    2011-10-27  2,329.75  2,408.75  2,329.00  2,393.75     67.25        2.89   329377
13    2011-10-28  2,393.75  2,401.75  2,378.50  2,396.50      2.75        0.11   213787
14    2011-10-31  2,397.75  2,398.00  2,350.50  2,356.00    -40.50       -1.69   243862
15    2011-11-01  2,353.25  2,355.75  2,282.75  2,303.50    -52.50       -2.23   445641
16    2011-11-02  2,303.00  2,329.75  2,293.25  2,314.50     11.00        0.48   285448
17    2011-11-03  2,317.00  2,366.50  2,279.00  2,361.00     46.50        2.01   322415
18    2011-11-04  2,362.00  2,364.50  2,327.00  2,351.00    -10.00       -0.42   235043
19    2011-11-07  2,351.00  2,371.50  2,319.50  2,369.75     18.75        0.80   245858
20    2011-11-08  2,369.00  2,399.50  2,355.25  2,394.50     24.75        1.04   251312
21    2011-11-09  2,394.75  2,397.50  2,302.50  2,311.00    -83.50       -3.49   337138
22    2011-11-10  2,312.25  2,344.00  2,286.50  2,303.50     -7.50       -0.32   301449
23    2011-11-11  2,308.50  2,360.25  2,301.50  2,350.25     46.75        2.03   187760
24    2011-11-14  2,355.00  2,366.50  2,329.75  2,343.00     -7.25       -0.31   184831
25    2011-11-15  2,343.25  2,374.25  2,310.00  2,359.75     16.75        0.71   257276
26    2011-11-16  2,361.50  2,371.50  2,312.25  2,313.75    -46.00       -1.95   285487
27    2011-11-17  2,314.25  2,332.75  2,256.00  2,268.25    -45.50       -1.97   369831
28    2011-11-18  2,270.00  2,290.00  2,249.00  2,249.75    -18.50       -0.82   257930
29    2011-11-21  2,244.00  2,244.00  2,187.00  2,213.50    -36.25       -1.61   300992
30    2011-11-22  2,215.25  2,226.75  2,190.75  2,214.25      0.75        0.03   264163
31    2011-11-23  2,214.00  2,216.75  2,161.00  2,161.00    -53.25       -2.40   252323
32    2011-11-25  2,164.50  2,184.50  2,135.75  2,147.50    -13.50       -0.62   162261
33    2011-11-28  2,183.00  2,228.00  2,178.25  2,221.00     73.50        3.42   288245
34    2011-11-29  2,221.00  2,245.00  2,205.25  2,212.50     -8.50       -0.38   272608
35    2011-11-30  2,212.00  2,296.50  2,196.25  2,295.00     82.50        3.73   296698
36    2011-12-01  2,293.25  2,315.50  2,284.00  2,309.25     14.25        0.62   226157
37    2011-12-02  2,309.25  2,344.75  2,300.75  2,303.25     -6.00       -0.26   201365
38    2011-12-05  2,309.00  2,343.75  2,309.00  2,325.00     21.75        0.94   228283
39    2011-12-06  2,320.00  2,341.50  2,312.75  2,321.50     -3.50       -0.15   212669
40    2011-12-07  2,322.00  2,343.75  2,291.50  2,321.50      0.00        0.00   265639
41    2011-12-08  2,322.75  2,341.00  2,277.75  2,285.25    -36.25       -1.56   215994
42    2011-12-09  2,284.25  2,327.00  2,269.00  2,322.00     36.75        1.61   124579
43    2011-12-12  2,321.50  2,325.50  2,273.25  2,294.00    -28.00       -1.21    95705
44    2011-12-13  2,294.25  2,318.00  2,258.25  2,271.00    -23.00       -1.00   101723
45    2011-12-14  2,271.00  2,279.75  2,220.00  2,232.25    -38.75       -1.71    80080
46    2011-12-15  2,231.00  2,255.75  2,219.50  2,227.00     -5.25       -0.24    39569
47    2011-12-16  2,223.25  2,249.00  2,223.25  2,242.25     15.25        0.68   214925
48    2011-12-19  2,235.00  2,251.00  2,204.25  2,212.50    -29.75       -1.33   183913
49    2011-12-20  2,214.00  2,283.25  2,212.25  2,266.75     54.25        2.45   227829
50    2011-12-21  2,269.50  2,291.25  2,217.75  2,239.00    -27.75       -1.22   248778
51    2011-12-22  2,241.00  2,264.25  2,234.50  2,260.75     21.75        0.97   128977
52    2011-12-23  2,262.00  2,283.25  2,260.25  2,278.50     17.75        0.79    72450
53    2011-12-27  2,280.00  2,296.50  2,275.00  2,284.50      6.00        0.26    73764
54    2011-12-28  2,284.50  2,292.25  2,253.75  2,259.50    -25.00       -1.09   128306
55    2011-12-29  2,262.25  2,282.00  2,258.25  2,277.25     17.75        0.79   100733
56    2011-12-30  2,278.25  2,284.50  2,270.25  2,274.50     -2.75       -0.12    69032
57    2012-01-03  2,312.50  2,328.25  2,308.00  2,316.00     41.50        1.82   177461
58    2012-01-04  2,316.25  2,329.50  2,302.50  2,328.75     12.75        0.55   142882
59    2012-01-05  2,329.00  2,347.50  2,309.25  2,339.50     10.75        0.46   195109
60    2012-01-06  2,340.25  2,358.75  2,332.50  2,352.25     12.75        0.54   158875
61    2012-01-09  2,353.25  2,363.50  2,338.50  2,346.75     -5.50       -0.23   152188
62    2012-01-10  2,346.50  2,378.25  2,346.25  2,363.50     16.75        0.71   147334
63    2012-01-11  2,363.25  2,373.25  2,352.50  2,367.00      3.50        0.15   173538
64    2012-01-12  2,367.00  2,383.00  2,355.75  2,378.50     11.50        0.49   160555
65    2012-01-13  2,378.00  2,386.75  2,348.50  2,373.50     -5.00       -0.21   199235
66    2012-01-17  2,367.25  2,401.00  2,361.50  2,389.75     16.25        0.68   190236
67    2012-01-18  2,390.25  2,423.00  2,387.75  2,420.50     30.75        1.29   214767
68    2012-01-19  2,420.25  2,442.50  2,418.50  2,425.25      4.75        0.20   185083
69    2012-01-20  2,428.00  2,437.00  2,422.75  2,434.75      9.50        0.39   153095
70    2012-01-23  2,430.00  2,452.25  2,420.75  2,435.00      0.25        0.01   165315
71    2012-01-24  2,435.50  2,439.75  2,419.50  2,437.50      2.50        0.10   146667
72    2012-01-25  2,438.00  2,469.00  2,436.75  2,460.50     23.00        0.94   249740
73    2012-01-26  2,460.25  2,476.00  2,440.75  2,453.25     -7.25       -0.29   186795
74    2012-01-27  2,453.00  2,464.50  2,444.75  2,456.25      3.00        0.12   169927
75    2012-01-30  2,460.00  2,465.50  2,429.25  2,462.00      5.75        0.23   182360
76    2012-01-31  2,462.25  2,478.50  2,448.75  2,464.25      2.25        0.09   271817
77    2012-02-01  2,455.00  2,494.25  2,453.50  2,487.50     23.25        0.94   206687
78    2012-02-02  2,488.50  2,500.75  2,479.50  2,491.50      4.00        0.16   191477
79    2012-02-03  2,492.00  2,530.00  2,489.75  2,523.00     31.50        1.26   168427
80    2012-02-06  2,519.75  2,526.25  2,510.50  2,525.75      2.75        0.11   156417
81    2012-02-07  2,524.75  2,534.75  2,511.75  2,529.25      3.50        0.14   176247
82    2012-02-08  2,528.75  2,547.50  2,521.00  2,544.75     15.50        0.61   198952
83    2012-02-09  2,545.00  2,565.00  2,535.25  2,561.00     16.25        0.64   244811
84    2012-02-10  2,561.25  2,561.25  2,535.25  2,548.50    -12.50       -0.49   228662
85    2012-02-13  2,556.75  2,571.25  2,551.75  2,567.75     19.25        0.76   165757
86    2012-02-14  2,569.50  2,577.50  2,553.25  2,576.00      8.25        0.32   193336
87    2012-02-15  2,576.50  2,600.50  2,552.50  2,557.50    -18.50       -0.72   393394
88    2012-02-16  2,556.50  2,594.25  2,542.75  2,593.50     36.00        1.41   313173
89    2012-02-17  2,593.75  2,597.50  2,572.00  2,582.00    -11.50       -0.44   216108
90    2012-02-21  2,593.75  2,601.75  2,574.25  2,591.00      9.00        0.35   187245
91    2012-02-22  2,590.25  2,600.50  2,575.25  2,578.75    -12.25       -0.47   186677
92    2012-02-23  2,579.00  2,602.00  2,569.25  2,600.75     22.00        0.85   229551
93    2012-02-24  2,600.25  2,609.50  2,598.00  2,601.50      0.75        0.03   147647
94    2012-02-27  2,602.50  2,616.75  2,578.75  2,608.00      6.50        0.25   209203
95    2012-02-28  2,609.50  2,635.00  2,607.50  2,632.00     24.00        0.92   199721
96    2012-02-29  2,632.25  2,645.25  2,614.25  2,623.00     -9.00       -0.34   258510
97    2012-03-01  2,623.75  2,646.25  2,616.50  2,643.25     20.25        0.77   257365
98    2012-03-02  2,644.50  2,650.00  2,632.75  2,643.50      0.25        0.01   179764
99    2012-03-05  2,639.75  2,645.00  2,605.50  2,616.00    -27.50       -1.04   223081
100   2012-03-06  2,615.75  2,617.50  2,575.00  2,589.50    -26.50       -1.01   285518
101   2012-03-07  2,589.75  2,614.50  2,588.25  2,608.75     19.25        0.74   260566
102   2012-03-08  2,608.00  2,644.25  2,604.50  2,637.75     29.00        1.11   286625
103   2012-03-09  2,637.50  2,652.50  2,631.50  2,648.50     10.75        0.41   126691
104   2012-03-12  2,649.25  2,652.50  2,635.25  2,651.50      3.00        0.11   122352
105   2012-03-13  2,650.50  2,700.50  2,649.75  2,697.75     46.25        1.74   147067
106   2012-03-14  2,697.50  2,717.50  2,690.25  2,706.25      8.50        0.32    86543
107   2012-03-15  2,705.00  2,721.25  2,701.00  2,715.75      9.50        0.35    59061
108   2012-03-16  2,714.50  2,724.00  2,712.25  2,719.75      4.00        0.15   196864
109   2012-03-19  2,708.50  2,735.00  2,700.25  2,727.75      8.00        0.29   229820
110   2012-03-20  2,729.25  2,738.00  2,707.25  2,735.50      7.75        0.28   212356
111   2012-03-21  2,736.25  2,748.50  2,730.00  2,735.25     -0.25       -0.01   210535
112   2012-03-22  2,734.75  2,740.75  2,715.50  2,731.25     -4.00       -0.15   233139
113   2012-03-23  2,732.50  2,746.50  2,710.75  2,728.75     -2.50       -0.09   198235
114   2012-03-26  2,729.75  2,778.00  2,729.00  2,777.00     48.25        1.77   202381
115   2012-03-27  2,775.75  2,789.50  2,772.00  2,775.75     -1.25       -0.05   179109
116   2012-03-28  2,776.25  2,790.25  2,750.25  2,768.00     -7.75       -0.28   238252
117   2012-03-29  2,765.25  2,773.25  2,737.00  2,758.25     -9.75       -0.35   246572
118   2012-03-30  2,759.00  2,773.25  2,740.25  2,750.75     -7.50       -0.27   209242
119   2012-04-02  2,758.00  2,783.75  2,743.50  2,777.00     26.25        0.95   210984
120   2012-04-03  2,777.00  2,791.50  2,763.00  2,779.00      2.00        0.07   252462
121   2012-04-04  2,780.50  2,781.00  2,724.75  2,736.50    -42.50       -1.53   273624
122   2012-04-05  2,738.50  2,760.75  2,722.50  2,753.75     17.25        0.63   225937
123   2012-04-09  2,725.75  2,748.00  2,718.75  2,728.50    -25.25       -0.92   192709
124   2012-04-10  2,728.75  2,746.00  2,684.25  2,697.00    -31.50       -1.15   383510
125   2012-04-11  2,698.50  2,723.75  2,697.50  2,704.25      7.25        0.27   270038
